Date,Hr_End,DA_Demand,RT_Demand,DA_LMP,DA_EC,DA_CC,DA_MLC,RT_LMP,RT_EC,RT_CC,RT_MLC,Dry_Bulb,Dew_Point
1-Jan-22,01,"1,005.60","1,042.18",32.93,32.35,0.10,0.48,26.38,25.95,0.00,0.43,34,34
1-Jan-22,02,985.40,994.70,32.91,32.31,0.13,0.47,26.28,25.87,0.00,0.41,35,34
1-Jan-22,03,930.90,964.33,31.31,30.85,0.00,0.46,27.94,27.50,0.00,0.44,35,35
1-Jan-22,04,912.00,951.08,30.11,29.69,0.00,0.42,25.53,25.13,0.00,0.40,35,35
1-Jan-22,05,917.70,953.03,31.33,30.86,0.00,0.47,29.76,29.27,0.00,0.49,36,34
1-Jan-22,06,950.30,978.35,31.30,30.83,0.00,0.47,28.89,28.41,0.00,0.48,34,34
1-Jan-22,07,952.90,"1,021.36",31.10,30.71,0.00,0.39,25.31,24.92,0.00,0.39,34,34
1-Jan-22,08,"1,031.20","1,078.34",31.14,30.76,0.00,0.38,23.25,22.90,0.00,0.35,34,34
1-Jan-22,09,"1,109.90","1,158.92",33.03,32.62,0.00,0.41,24.28,23.89,0.00,0.39,34,34
1-Jan-22,10,"1,261.30","1,249.88",33.84,33.34,0.00,0.50,22.65,22.29,0.00,0.36,35,34
1-Jan-22,11,"1,282.00","1,315.79",39.31,38.70,0.00,0.61,31.54,31.01,0.00,0.53,35,34
1-Jan-22,12,"1,315.20","1,353.00",42.46,41.76,0.00,0.70,35.15,34.54,0.00,0.61,35,35
1-Jan-22,13,"1,267.80","1,360.27",38.39,37.81,0.00,0.58,33.57,32.95,0.00,0.62,36,35
1-Jan-22,14,"1,243.40","1,348.30",34.06,33.61,0.00,0.45,33.84,33.22,0.00,0.62,36,36
1-Jan-22,15,"1,181.30","1,330.43",33.43,33.05,0.00,0.38,32.95,32.38,0.00,0.57,37,36
1-Jan-22,16,"1,229.20","1,332.83",34.48,34.03,0.00,0.45,31.81,31.28,0.00,0.53,37,37
1-Jan-22,17,"1,326.90","1,408.54",38.02,37.52,0.00,0.50,39.58,38.90,0.00,0.68,37,37
1-Jan-22,18,"1,368.80","1,457.18",51.14,50.47,0.00,0.67,42.64,41.88,0.00,0.76,36,36
1-Jan-22,19,"1,319.60","1,422.47",37.97,37.55,0.00,0.42,37.92,37.27,0.00,0.65,37,36
1-Jan-22,20,"1,269.20","1,360.92",35.35,34.93,0.00,0.42,33.95,33.41,0.00,0.54,35,35
1-Jan-22,21,"1,190.80","1,298.43",33.42,33.05,0.00,0.37,31.95,31.42,0.00,0.53,36,36
1-Jan-22,22,"1,095.50","1,224.32",33.72,33.36,0.00,0.36,31.37,30.84,0.00,0.53,35,35
1-Jan-22,23,"1,006.70","1,133.51",30.18,29.82,0.00,0.36,28.37,27.92,0.00,0.45,35,35
1-Jan-22,24,921.00,"1,051.69",29.92,29.51,0.00,0.41,25.35,24.94,0.00,0.41,35,35
2-Jan-22,01,919.80,990.92,32.17,31.74,0.00,0.43,18.62,18.34,0.00,0.28,36,36
2-Jan-22,02,897.70,954.78,27.52,27.19,0.00,0.33,19.07,18.81,0.00,0.26,35,35
2-Jan-22,03,874.70,936.82,26.16,25.88,0.00,0.28,-3.65,-3.61,0.00,-0.04,36,34
2-Jan-22,04,836.30,930.57,25.34,25.10,0.00,0.24,19.18,18.94,0.00,0.24,36,36
